protein,gene,module,kME_own_module
Q05707,COL14A1,1,0.6608757996070738
Q06124,PTPN11,1,0.30589661236009863
Q06136,KDSR,6,0.4225677479357859
Q06190,PPP2R3A,0,NA
Q06210,GFPT1,0,NA
Q06323,PSME1,1,0.6258344151961045
Q06432,CACNG1,7,0.3131573249467223
Q06828,FMOD,1,0.6924899896072114
Q06830,PRDX1,7,0.7921447779368946
Q07020,RPL18,8,0.6421890417375553
Q07021,C1QBP,9,0.5957946374840386
Q07065,CKAP4,1,0.45412295705996575
Q07157,TJP1,0,NA
Q07507,DPT,2,0.4768116668758061
Q07699,SCN1B,0,NA
Q07812,BAX,0,NA
Q07866,KLC1,0,NA
Q07954,LRP1,1,0.6104423339233628
Q07955,SRSF1,1,0.34689271426414875
Q07960,ARHGAP1,1,0.6138407708386338
Q08043,ACTN3,2,0.8222346232643154
Q08174,PCDH1,0,NA
Q08209,PPP3CA,0,NA
Q08211,DHX9,2,0.6128611076583603
Q08257,CRYZ,1,0.39423288200436
Q08357,SLC20A2,4,0.40618148602117815
Q08380,LGALS3BP,1,0.4325542139349295
Q08431,MFGE8,1,0.483452342840153
Q08499,PDE4D,4,0.4333686784655685
Q08623,PUDP,7,0.5277893625392321
Q08722,CD47,5,0.5527295999982715
Q08752,PPID,0,NA
Q08AM6,VAC14,1,0.3205229660278315
Q08J23,NSUN2,3,0.32166712206164405
Q09028,RBBP4,0,NA
Q09666,AHNAK,1,0.9525036716167278
Q0D2K2,KLHL30,0,NA
Q0VAK6,LMOD3,2,0.7498792592699768
Q0VDG4,SCRN3,0,NA
Q0ZGT2,NEXN,2,0.858252467492749
Q10567,AP1B1,1,0.3640677649132987
Q10713,PMPCA,3,0.34715758834938343
Q12768,WASHC5,0,NA
Q12797,ASPH,1,0.44449954836769906
Q12805,EFEMP1,1,0.7988122760966816
Q12846,STX4,0,NA
Q12849,GRSF1,0,NA
Q12857,NFIA,0,NA
Q12904,AIMP1,2,0.3429354073732442
Q12905,ILF2,2,0.4145125905389669
Q12906,ILF3,0,NA
Q12907,LMAN2,1,0.4686704994821214
Q12931,TRAP1,3,0.7350488666687993
Q12955,ANK3,4,0.6238602892211838
Q12983,BNIP3,0,NA
Q12988,HSPB3,4,0.4132635042154794
Q13011,ECH1,3,0.49230352760684915
Q13033,STRN3,2,0.3683510750385309
Q13045,FLII,2,0.601005451027752
Q13049,TRIM32,0,NA
Q13057,COASY,0,NA
Q13061,TRDN,2,0.7412868634362286
Q13084,MRPL28,0,NA
Q13098,GPS1,4,0.5914096491527526
Q13126,MTAP,0,NA
Q13131,PRKAA1,1,0.33584127716311957
Q13137,CALCOCO2,0,NA
Q13144,EIF2B5,3,0.37018233181034343
Q13148,TARDBP,0,NA
Q13151,HNRNPA0,1,0.4267621220723952
Q13153,PAK1,4,0.3197542022702371
Q13155,AIMP2,2,0.38274577726995973
Q13162,PRDX4,1,0.5819571036156256
Q13177,PAK2,6,0.459455689038742
Q13185,CBX3,7,0.6069024344443253
Q13200,PSMD2,0,NA
Q13203,MYBPH,2,0.7159409061564234
Q13228,SELENBP1,5,0.7229413347430249
Q13232,NME3,0,NA
Q13263,TRIM28,7,0.4673794512200201
Q13283,G3BP1,2,0.5948110921996901
Q13310,PABPC4,4,0.38275905104872665
Q13326,SGCG,2,0.35673485666710786
Q13347,EIF3I,2,0.47841651413270475
Q13361,MFAP5,1,0.4533370446942507
Q13363,CTBP1,0,NA
Q13404,UBE2V1,5,0.4374508755426731
Q13405,MRPL49,0,NA
Q13409,DYNC1I2,0,NA
Q13418,ILK,1,0.5188059006007992
Q13423,NNT,3,0.6425259249798627
Q13424,SNTA1,2,0.4329598430630272
Q13425,SNTB2,2,0.3244777767116957
Q13435,SF3B2,0,NA
Q13442,PDAP1,0,NA
Q13445,TMED1,0,NA
Q13451,FKBP5,0,NA
Q13485,SMAD4,0,NA
Q13492,PICALM,0,NA
Q13496,MTM1,0,NA
Q13501,SQSTM1,2,0.3749188105376491
Q13505,MTX1,3,0.30192693624838163
Q13508,ART3,0,NA
Q13510,ASAH1,1,0.3735640495461565
Q13522,PPP1R1A,0,NA
Q13526,PIN1,7,0.5922224618723957
Q13541,EIF4EBP1,0,NA
Q13542,EIF4EBP2,0,NA
Q13554,CAMK2B,4,0.5238724037236041
Q13555,CAMK2G,0,NA
Q13557,CAMK2D,2,0.3941067325794952
Q13561,DCTN2,2,0.37131470528836735
Q13564,NAE1,5,0.3212900757863713
Q13574,DGKZ,0,NA
Q13586,STIM1,2,0.4117447113950939
Q13596,SNX1,1,0.5163475877162461
Q13616,CUL1,4,0.5745713776814659
Q13617,CUL2,4,0.4394440718769115
Q13618,CUL3,0,NA
Q13619,CUL4A,4,0.5707126350618817
Q13630,TSTA3,5,0.7404889037906452
Q13636,RAB31,0,NA
Q13642,FHL1,0,NA
Q13643,FHL3,2,0.4833918920432707
Q13683,ITGA7,1,0.607749744867407
Q13685,AAMP,4,0.5013373144954202
Q13698,CACNA1S,4,0.7240382747694608
Q13724,MOGS,0,NA
Q13813,SPTAN1,1,0.718008880588683
Q13825,AUH,3,0.709037432647261
Q13838,DDX39B,0,NA
Q13867,BLMH,9,0.3717810254838327
Q13884,SNTB1,2,0.4407041526444064
Q13885,TUBB2A,1,0.6300822986093145
Q13907,IDI1,9,0.5025712467863193
Q13951,CBFB,0,NA
Q13976,PRKG1,4,0.38684877185273103
Q14008,CKAP5,0,NA
Q14011,CIRBP,0,NA
Q14061,COX17,3,0.35503998167090944
Q14103,HNRNPD,1,0.4286245932261932
Q14108,SCARB2,1,0.38177596491137145
Q14112,NID2,2,0.6906453624814584
Q14116,IL18,6,0.46434605248615324
Q14118,DAG1,6,0.38293168617745227
Q14139,UBE4A,6,0.3765271429178691
Q14152,EIF3A,8,0.6745190654857005
Q14157,UBAP2L,2,0.2994934149606659
Q14165,MLEC,0,NA
Q14166,TTLL12,0,NA
Q14195,DPYSL3,1,0.5131423077168592
Q14197,MRPL58,0,NA
Q14203,DCTN1,6,0.5966224825889181
Q14204,DYNC1H1,8,0.359097644898629
Q14232,EIF2B1,0,NA
Q14240,EIF4A2,8,0.34954076429187697
Q14247,CTTN,2,0.479211885107786
Q14249,ENDOG,3,0.607690878437069
Q14254,FLOT2,5,0.6689668912947268
Q14257,RCN2,9,0.4094704152115996
Q14258,TRIM25,0,NA
Q14315,FLNC,4,0.571002372400016
Q14324,MYBPC2,2,0.8474236868705162
Q14344,GNA13,1,0.39787317052411547
Q14353,GAMT,9,0.7032783426075639
Q14444,CAPRIN1,0,NA
Q14558,PRPSAP1,6,0.47030659978481687
Q14624,ITIH4,5,0.859458311182089
Q14654,KCNJ11,0,NA
Q14657,LAGE3,0,NA
Q14677,CLINT1,0,NA
Q14693,LPIN1,0,NA
Q14694,USP10,0,NA
Q14696,MESD,0,NA
Q14697,GANAB,1,0.7000542192912291
Q14699,RFTN1,1,0.4965738022490714
Q14714,SSPN,0,NA
Q14728,MFSD10,0,NA
Q14738,PPP2R5D,0,NA
Q14764,MVP,1,0.5492130487334226
Q147X3,NAA30,2,0.5635046494358756
Q14847,LASP1,1,0.6918260444630374
Q14894,CRYM,4,0.46057877957021703
Q14914,PTGR1,0,NA
Q14974,KPNB1,1,0.41083494452158814
Q14980,NUMA1,6,0.3585996395385841
Q14BN4,SLMAP,0,NA
Q14C86,GAPVD1,5,0.335741822234168
Q14CX7,NAA25,0,NA
Q15005,SPCS2,0,NA
Q15006,EMC2,2,0.4456243497425407
Q15008,PSMD6,3,0.3786327733933537
Q15018,ABRAXAS2,6,0.48611600170095554
Q15019,SEPTIN2,1,0.687503540679463
Q15029,EFTUD2,0,NA
Q15031,LARS2,3,0.41075540401278665
Q15036,SNX17,0,NA
Q15042,RAB3GAP1,0,NA
Q15046,KARS1,3,0.44006284685082814
Q15052,ARHGEF6,0,NA
Q15056,EIF4H,0,NA
Q15070,OXA1L,3,0.3181563425435867
Q15075,EEA1,6,0.39673670683696166
Q15084,PDIA6,1,0.691569860597053
Q15102,PAFAH1B3,5,0.6754826833239923
Q15111,PLCL1,0,NA
Q15113,PCOLCE,1,0.6236122945102309
Q15119,PDK2,3,0.5887289007983064
Q15121,PEA15,1,0.4173125576957712
Q15124,PGM5,2,0.3968029417249907
Q15126,PMVK,0,NA
Q15149,PLEC,2,0.9105270009539151
Q15172,PPP2R5A,0,NA
Q15181,PPA1,1,0.42742519980679317
Q15185,PTGES3,1,0.43530076707604237
Q15233,NONO,8,0.658499573923872
Q15257,PTPA,5,0.519336997743656
Q15276,RABEP1,0,NA
Q15286,RAB35,1,0.6379245093406085
Q15293,RCN1,1,0.3630839277649777
Q15363,TMED2,0,NA
Q15365,PCBP1,6,0.362103990712421
Q15366,PCBP2,1,0.32743490065587033
Q15369,ELOC,0,NA
Q15370,ELOB,0,NA
Q15382,RHEB,0,NA
Q15386,UBE3C,4,0.3463737064259028
Q15392,DHCR24,0,NA
Q15393,SF3B3,0,NA
Q15404,RSU1,1,0.6759127241947116
Q15417,CNN3,1,0.4870666150339273
Q15427,SF3B4,1,0.3552458444369093
Q15435,PPP1R7,5,0.4990156687004426
Q15436,SEC23A,6,0.5110978113373368
Q15477,SKIV2L,0,NA
Q15493,RGN,3,0.35635878598830467
Q15526,SURF1,10,0.32190804773862153
Q15555,MAPRE2,0,NA
Q15582,TGFBI,1,0.6333724488016149
Q15599,SLC9A3R2,2,0.458747314585563
Q15631,TSN,1,0.35616155616994805
Q15637,SF1,0,NA
Q15642,TRIP10,0,NA
Q15653,NFKBIB,2,0.30385213690643276
Q15691,MAPRE1,1,0.35799828478296164
Q15714,TSC22D1,5,0.5485058278915845
Q15717,ELAVL1,2,0.46303166029695225
Q15746,MYLK,1,0.5156054973190993
Q15772,SPEG,2,0.6652357126202906
Q15785,TOMM34,4,0.31556690329392006
Q15796,SMAD2,0,NA
Q15811,ITSN1,1,0.5462022371370476
Q15813,TBCE,6,0.4193652861320702
Q15814,TBCC,4,0.32328337847762184
Q15819,UBE2V2,6,0.3942990593165348
Q15836,VAMP3,0,NA
Q15843,NEDD8,7,0.6666305003120878
Q15847,ADIRF,1,0.7212361792905144
Q15848,ADIPOQ,1,0.33789795819299906
Q15884,FAM189A2,4,0.4450681155965737
Q15907,RAB11B,0,NA
Q15942,ZYX,1,0.7147943520770559
Q16082,HSPB2,0,NA
Q16134,ETFDH,3,0.5179981039632798
Q16181,SEPTIN7,1,0.6176865920626882
Q16186,ADRM1,0,NA
Q16204,CCDC6,4,0.34911004136809715
Q16222,UAP1,0,NA
Q16270,IGFBP7,1,0.5499075379814184
Q16401,PSMD5,1,0.4024889225878939
Q16527,CSRP2,1,0.6899754227676866
Q16531,DDB1,4,0.5129643182228077
Q16537,PPP2R5E,0,NA
Q16539,MAPK14,4,0.6065820260600303
Q16543,CDC37,0,NA
Q16555,DPYSL2,1,0.8939247911000229
Q16563,SYPL1,1,0.4127164063436215
Q16576,RBBP7,0,NA
Q16585,SGCB,0,NA
Q16586,SGCA,2,0.4790765758898598
Q16595,FXN,3,0.3983353226395321
Q16610,ECM1,5,0.6551178256803611
Q16619,CTF1,0,NA
Q16629,SRSF7,0,NA
Q16630,CPSF6,0,NA
Q16643,DBN1,1,0.5504757169303442
Q16654,PDK4,0,NA
Q16658,FSCN1,1,0.6318975354266227
Q16666,IFI16,1,0.48689298882168386
Q16698,DECR1,3,0.5873450795962032
Q16718,NDUFA5,0,NA
Q16740,CLPP,3,0.4283672178162729
Q16762,TST,0,NA
Q16773,KYAT1,4,0.548851946022858
Q16774,GUK1,5,0.550725119309861
Q16775,HAGH,6,0.27737751863811877
Q16795,NDUFA9,10,0.7674577835669004
Q16799,RTN1,1,0.4398605172387492
Q16816,PHKG1,3,0.548386312106431
Q16821,PPP1R3A,4,0.5991537602050329
Q16836,HADH,9,0.6056321911544464
Q16851,UGP2,3,0.3116701842289623
Q16853,AOC3,1,0.6689506900087223
Q16864,ATP6V1F,6,0.5286803940724707
Q16881,TXNRD1,0,NA
Q16890,TPD52L1,4,0.3411425730314962
Q16891,IMMT,10,0.7541807991137655
Q1KMD3,HNRNPUL2,0,NA
Q2TAA2,IAH1,9,0.5062922738443033
Q2TAL5,SMTNL2,4,0.3940634335969173
Q2TBA0,KLHL40,2,0.6017822483686286
Q32MK0,MYLK3,4,0.44214725105224584
Q330K2,NDUFAF6,0,NA
Q3KQU3,MAP7D1,0,NA
Q3LXA3,TKFC,5,0.3415838786737379
Q3SXM5,HSDL1,4,0.5852903131200726
Q3YEC7,RABL6,0,NA
Q3ZCQ8,TIMM50,0,NA
Q3ZCW2,LGALSL,0,NA
Q49AH0,CDNF,4,0.37731200892436323
Q49B96,COX19,3,0.407325601415721
Q4G0N4,NADK2,3,0.4594393678387979
Q4G0W2,DUSP28,4,0.6569572781452976
Q4G176,ACSF3,3,0.3471561792960396
Q4J6C6,PREPL,0,NA
Q4KMP7,TBC1D10B,4,0.3193091920226634
Q4KMQ2,ANO6,6,0.7238104734963746
Q4VC31,CCDC58,3,0.3340687269478778
Q52LJ0,FAM98B,0,NA
Q53EU6,GPAT3,0,NA
Q53FT3,HIKESHI,6,0.3625655618861687
Q53GG5,PDLIM3,2,0.46435171523345614
Q53GQ0,HSD17B12,0,NA
Q53H12,AGK,3,0.34053012756931184
Q53H82,LACTB2,0,NA
Q53HC9,EIPR1,0,NA
Q53S33,BOLA3,0,NA
Q53TN4,CYBRD1,1,0.7372534969645728
Q562R1,ACTBL2,2,0.40771845580639465
Q567U6,CCDC93,9,0.4496430759517185
Q58FF6,HSP90AB4P,0,NA
Q58FF8,HSP90AB2P,0,NA
Q58WW2,DCAF6,3,0.5608886110665924
Q5BKX8,CAVIN4,0,NA
Q5EBM0,CMPK2,0,NA
Q5GLZ8,HERC4,3,0.35370517886170455
Q5H9R7,PPP6R3,0,NA
Q5HYI8,RABL3,0,NA
Q5HYK3,COQ5,3,0.6756292616238868
Q5J8M3,EMC4,8,0.4127443333343305
Q5JPH6,EARS2,3,0.38727941815119027
Q5JR12,PPM1J,6,0.5502595019639352
Q5JRA6,MIA3,0,NA
Q5JRX3,PITRM1,0,NA
Q5JSH3,WDR44,4,0.36948838619000074
Q5JTJ3,COA6,3,0.5281562437322803
Q5JTV8,TOR1AIP1,0,NA
Q5JVF3,PCID2,0,NA
Q5MNZ9,WIPI1,4,0.3526303676648085
Q5QJ74,TBCEL,5,0.41788119881321595
Q5R3I4,TTC38,0,NA
Q5RI15,COX20,3,0.3225947879060154
Q5SQH8,C6orf136,3,0.5902484797227845
Q5SRE7,PHYHD1,0,NA
Q5SSJ5,HP1BP3,2,0.6344632193387016
Q5SV97,PERM1,3,0.6225292460859609
Q5SWX8,ODR4,0,NA
Q5T013,HYI,5,0.43134169842207226
Q5T1C6,THEM4,0,NA
Q5T1M5,FKBP15,0,NA
Q5T440,IBA57,3,0.7059904989851927
Q5T447,HECTD3,0,NA
Q5T481,RBM20,3,0.3866870584728894
Q5T4S7,UBR4,4,0.3680405925500567
Q5T653,MRPL2,7,0.32201900050321297
Q5T6F2,UBAP2,4,0.323465078912222
Q5T6V5,C9orf64,0,NA
Q5TA50,CPTP,3,0.3310444941925064
Q5TAQ9,DCAF8,6,0.5195750366496681
Q5TC12,ATPAF1,3,0.5054295049490175
Q5TDH0,DDI2,5,0.8027883727893499
Q5TEU4,NDUFAF5,0,NA
Q5TFE4,NT5DC1,5,0.33984951247944006
Q5TGZ0,MICOS10,4,0.3489346882268977
Q5U5X0,LYRM7,3,0.5303191518165554
Q5UCC4,EMC10,0,NA
Q5VST9,OBSCN,2,0.9076890628703853
Q5VTT5,MYOM3,2,0.8900689085541816
Q5VUM1,SDHAF4,0,NA
Q5VVQ6,YOD1,5,0.725682652060874
Q5VW32,BROX,5,0.40233271316091007
Q5VWP3,MLIP,2,0.7924549640707109
Q5VWZ2,LYPLAL1,7,0.4001569717871523
Q5VXT5,SYPL2,0,NA
Q5VYK3,ECPAS,2,0.377825241168924
Q5VZP5,DUSP27,4,0.3907489235070719
Q5XKP0,MICOS13,0,NA
Q5XPI4,RNF123,5,0.4346964166854709
Q66K74,MAP1S,4,0.48362654374587516
Q687X5,STEAP4,1,0.3711411289574991
Q68EM7,ARHGAP17,0,NA
Q68J44,DUPD1,3,0.44335855693259213
Q69YU5,C12orf73,3,0.4100401444578519
Q6B8I1,DUSP13,4,0.5587374655535471
Q6DD88,ATL3,1,0.7116274220341132
Q6DHV7,ADAL,0,NA
Q6DKJ4,NXN,6,0.42645734297230353
Q6EEV4,POLR2M,0,NA
Q6FI81,CIAPIN1,5,0.3539839333349524
Q6GMV2,SMYD5,6,0.5002174479468728
Q6GMV3,PTRHD1,5,0.3372036881470228
Q6GQQ9,OTUD7B,0,NA
Q6H8Q1,ABLIM2,2,0.8589854080545933
Q6IAA8,LAMTOR1,0,NA
Q6IAN0,DHRS7B,4,0.5608243287164464
Q6IBS0,TWF2,2,0.4575116008993437
Q6ICL3,TANGO2,5,0.4064683493810187
Q6IPR1,ETFRF1,0,NA
Q6IQ22,RAB12,4,0.4355591140102436
Q6JBY9,RCSD1,4,0.517432381829033
Q6L8Q7,PDE12,0,NA
Q6NSJ0,MYORG,0,NA
Q6NUK1,SLC25A24,6,0.6181149229731077
Q6NVY1,HIBCH,3,0.6080417727924501
Q6NW29,RWDD4,0,NA
Q6NXT6,TAPT1,4,0.3717186178467684
Q6NZI2,CAVIN1,1,0.7498801667627624
Q6P179,ERAP2,0,NA
Q6P1A2,LPCAT3,0,NA
Q6P1L8,MRPL14,0,NA
Q6P1N0,CC2D1A,0,NA
Q6P1N9,TATDN1,0,NA
Q6P1X6,C8orf82,0,NA
Q6P3S6,FBXO42,4,0.409192735361316
Q6P4A7,SFXN4,0,NA
Q6P587,FAHD1,3,0.3680892432411365
Q6P5Q4,LMOD2,2,0.7370365141335269
Q6PCB7,SLC27A1,0,NA
Q6PCE3,PGM2L1,7,0.42176503074726485
Q6PGP7,TTC37,0,NA
Q6PH85,DCUN1D2,3,0.3083519699070039
Q6PHR2,ULK3,0,NA
Q6PI48,DARS2,10,0.44800350812581097
Q6PI78,TMEM65,3,0.5284669446699063
Q6PIU2,NCEH1,0,NA
Q6PJW8,CNST,6,0.5795758117468043
Q6PKG0,LARP1,0,NA
Q6PML9,SLC30A9,0,NA
Q6QEF8,CORO6,2,0.7612379254156522
Q6UW68,TMEM205,2,0.4949175511891232
Q6UW78,UQCC3,0,NA
Q6UWP2,DHRS11,0,NA
Q6UWP7,LCLAT1,0,NA
Q6UWY5,OLFML1,1,0.4977630836691123
Q6UXN9,WDR82,0,NA
Q6UXV4,APOOL,10,0.6979857921802803
Q6XQN6,NAPRT,5,0.6150842326033563
Q6YN16,HSDL2,3,0.6841942969337619
Q6YP21,KYAT3,0,NA
Q6ZMU5,TRIM72,8,0.3484482932037351
Q6ZP80,TMEM182,0,NA
Q6ZT12,UBR3,4,0.4892201896015882
Q6ZUT6,CCDC9B,2,0.5414784407150485
Q6ZVM7,TOM1L2,0,NA
Q702N8,XIRP1,4,0.46641982682824285
Q709C8,VPS13C,0,NA
Q70IA6,MOB2,0,NA
Q711Q0,CEFIP,2,0.4147503628591996
Q712K3,UBE2R2,4,0.39456164989743187
Q76N32,CEP68,2,0.3707823325490896
Q7KZF4,SND1,8,0.6757609900705234
Q7L0Y3,TRMT10C,3,0.44601179888272574
Q7L1Q6,BZW1,0,NA
Q7L2H7,EIF3M,0,NA
Q7L3B6,CDC37L1,0,NA
Q7L3T8,PARS2,3,0.36604484410046556
Q7L523,RRAGA,4,0.49160278070189567
Q7L576,CYFIP1,5,0.5034829227765325
Q7L592,NDUFAF7,0,NA
Q7L5D6,GET4,0,NA
Q7L5N1,COPS6,0,NA
Q7L775,EPM2AIP1,7,0.356561840921833
Q7LBR1,CHMP1B,0,NA
Q7LG56,RRM2B,4,0.2968317210522663
Q7Z2K6,ERMP1,0,NA
Q7Z2T5,TRMT1L,0,NA
Q7Z2W9,MRPL21,3,0.35676481146947403
Q7Z392,TRAPPC11,0,NA
Q7Z3B4,NUP54,0,NA
Q7Z3D6,DGLUCY,3,0.6627116060168726
Q7Z406,MYH14,2,0.5905157864061369
Q7Z422,SZRD1,4,0.4200572152124395
Q7Z434,MAVS,2,0.4257160280679335
Q7Z460,CLASP1,2,0.29888419994946225
Q7Z4H3,HDDC2,6,0.44260211017468876
Q7Z4V5,HDGFL2,2,0.370537152050312
Q7Z4W1,DCXR,3,0.42029373845957135
Q7Z6K5,ARPIN,0,NA
Q7Z6Z7,HUWE1,2,0.37138922741476166
Q7Z7B0,FILIP1,2,0.2969041215522523
Q7Z7H5,TMED4,0,NA
Q7Z7H8,MRPL10,10,0.3035887035137474
Q7Z7K0,CMC1,0,NA
Q7Z7K6,CENPV,2,0.4577943429600217
Q86SX6,GLRX5,7,0.7074556674219676
Q86SZ2,TRAPPC6B,0,NA
Q86T13,CLEC14A,0,NA
Q86TC9,MYPN,2,0.8475747116693095
Q86TD4,SRL,0,NA
Q86TI2,DPP9,0,NA
Q86TN4,TRPT1,3,0.4520212142122102
Q86TP1,PRUNE1,0,NA
Q86TU7,SETD3,2,0.3263927331324278
Q86TX2,ACOT1,3,0.32377729045544806
Q86U28,ISCA2,3,0.3083712218534841
Q86U42,PABPN1,0,NA
Q86UA6,RPAIN,0,NA
Q86UE4,MTDH,8,0.40871623958151443
Q86UP2,KTN1,2,0.5492915435655458
Q86UT6,NLRX1,3,0.5705948321613319
Q86UU1,PHLDB1,1,0.4401187272101875
Q86UY8,NT5DC3,3,0.4555721687012046
Q86V81,ALYREF,0,NA
Q86V88,MDP1,0,NA
Q86VB7,CD163,1,0.6684739074248252
Q86VD7,SLC25A42,0,NA
Q86VF2,IGFN1,0,NA
Q86VF7,NRAP,4,0.5903001726308803
Q86VN1,VPS36,4,0.43173407018164167
Q86VP3,PACS2,0,NA
Q86VP6,CAND1,5,0.7128904228361855
Q86VS8,HOOK3,0,NA
Q86VU5,COMTD1,3,0.5203611697958022
Q86VY4,TSPYL5,0,NA
Q86WA6,BPHL,0,NA
Q86WC6,PPP1R27,0,NA
Q86WU2,LDHD,3,0.4712279090539758
Q86WW8,COA5,10,0.30955437568819927
Q86X55,CARM1,4,0.6160894499256773
Q86X76,NIT1,6,0.433011490916153
Q86XI6,PPP1R3B,0,NA
Q86Y39,NDUFA11,2,0.3018263665126666
Q86YB7,ECHDC2,0,NA
Q86YM7,HOMER1,4,0.4679049600130872
Q8IUG5,MYO18B,2,0.6453169115493677
Q8IUZ5,PHYKPL,6,0.32597930744547066
Q8IV38,ANKMY2,0,NA
Q8IVD9,NUDCD3,3,0.32043817001889474
Q8IVN3,MUSTN1,0,NA
Q8IVP5,FUNDC1,0,NA
Q8IW45,NAXD,6,0.44306388244462785
Q8IWA4,MFN1,4,0.298760489144531
Q8IWA5,SLC44A2,0,NA
Q8IWB7,WDFY1,0,NA
Q8IWE2,FAM114A1,0,NA
Q8IWL3,HSCB,0,NA
Q8IWT0,ZBTB8OS,0,NA
Q8IWV7,UBR1,0,NA
Q8IWW8,ADHFE1,3,0.5171687425497933
Q8IWX7,UNC45B,3,0.5879039336901982
Q8IXI2,RHOT1,0,NA
Q8IXJ6,SIRT2,0,NA
Q8IXL7,MSRB3,0,NA
Q8IXM3,MRPL41,0,NA
Q8IY95,TMEM192,0,NA
Q8IYB7,DIS3L2,5,0.3832011222364281
Q8IYB8,SUPV3L1,3,0.4342511161768464
Q8IYD1,GSPT2,0,NA
Q8IYQ7,THNSL1,3,0.520070684761353
Q8IYS1,PM20D2,4,0.3667400089439455
Q8IYU8,MICU2,3,0.31501077805640404
Q8IZ81,ELMOD2,0,NA
Q8IZ83,ALDH16A1,5,0.5907310035553952
Q8N0U4,FAM185A,3,0.5844851989456857
Q8N0U8,VKORC1L1,0,NA
Q8N0X4,CLYBL,7,0.39381106895277956
Q8N0X7,SPART,0,NA
Q8N112,LSMEM2,0,NA
Q8N122,RPTOR,0,NA
Q8N142,ADSS1,9,0.5232330619477653
Q8N163,CCAR2,0,NA
Q8N183,NDUFAF2,3,0.31380548617991344
Q8N1F7,NUP93,0,NA
Q8N1G4,LRRC47,0,NA
Q8N283,ANKRD35,0,NA
Q8N2G8,GHDC,0,NA
Q8N2U9,SLC66A2,6,0.38387400389407283
Q8N335,GPD1L,4,0.4490376172938654
Q8N392,ARHGAP18,0,NA
Q8N3D4,EHBP1L1,6,0.6486025411095987
Q8N3K9,CMYA5,2,0.8010619367905075
Q8N3L3,TXLNB,4,0.7479439178981918
Q8N3V7,SYNPO,2,0.9383791217603128
Q8N442,GUF1,3,0.42727344942317547
Q8N465,D2HGDH,4,0.5306818545205209
Q8N4L2,PIP4P2,0,NA
Q8N4Q0,ZADH2,3,0.4797832397880672
Q8N4Q1,CHCHD4,3,0.3087537415726545
Q8N4T8,CBR4,3,0.5433671884065303
Q8N4V1,MMGT1,0,NA
Q8N5G0,SMIM20,3,0.4174251079977795
Q8N5K1,CISD2,8,0.36365487478896447
Q8N5M1,ATPAF2,3,0.5741992658290701
Q8N5M9,JAGN1,8,0.4385197691545979
Q8N5N7,MRPL50,3,0.45036339672406195
Q8N5X7,EIF4E3,0,NA
Q8N6M0,OTUD6B,0,NA
Q8N6M3,FITM2,0,NA
Q8N766,EMC1,8,0.4080584709157555
Q8N8F7,LSMEM1,4,0.3527061267586029
Q8N8N7,PTGR2,9,0.593902574809832
Q8N983,MRPL43,0,NA
Q8N9N7,LRRC57,6,0.533163115111346
Q8N9N8,EIF1AD,0,NA
Q8NB12,SMYD1,2,0.739006546801361
Q8NBF2,NHLRC2,6,0.3162780185696859
Q8NBJ7,SUMF2,1,0.3879783955429488
Q8NBN7,RDH13,3,0.5064669921880394
Q8NBS9,TXNDC5,1,0.7290352135658746
Q8NBU5,ATAD1,2,0.4460463406597786
Q8NBV4,PLPP7,0,NA
Q8NBX0,SCCPDH,0,NA
Q8NC51,SERBP1,8,0.7155980883131958
Q8NC56,LEMD2,2,0.5100762459399876
Q8NCA5,FAM98A,8,0.45116058301519696
Q8NCN5,PDPR,3,0.46905046202786044
Q8NCW5,NAXE,9,0.6239147240534124
Q8NDC0,MAPK1IP1L,1,0.3473163521930762
Q8NDH3,NPEPL1,0,NA
Q8NDY3,ADPRHL1,4,0.4030299921325704
Q8NE62,CHDH,3,0.4340997855236514
Q8NE71,ABCF1,8,0.7815107025861969
Q8NE79,BVES,0,NA
Q8NE86,MCU,0,NA
Q8NEZ2,VPS37A,0,NA
Q8NFF5,FLAD1,0,NA
Q8NFQ8,TOR1AIP2,2,0.3285715968615906
Q8NFU3,TSTD1,0,NA
Q8NFV4,ABHD11,3,0.4046680507128115
Q8NFW8,CMAS,2,0.49334486841391745
Q8NHH9,ATL2,4,0.5252589039807412
Q8NI22,MCFD2,0,NA
Q8NI37,PPTC7,3,0.6175971128564336
Q8NI60,COQ8A,4,0.4080978281790748
Q8TAE6,PPP1R14C,0,NA
Q8TAT6,NPLOC4,0,NA
Q8TB22,SPATA20,3,0.4748067860210792
Q8TB37,NUBPL,3,0.34750392521531187
Q8TB45,DEPTOR,4,0.7348210848273329
Q8TBC4,UBA3,0,NA
Q8TC07,TBC1D15,0,NA
Q8TC12,RDH11,0,NA
Q8TC44,POC1B,9,0.3109235251024215
Q8TCA0,LRRC20,6,0.3480272282463522
Q8TCC3,MRPL30,6,0.6117133538589755
Q8TCD1,C18orf32,4,0.3720149111481347
Q8TCD5,NT5C,7,0.6622779868172912
Q8TCJ2,STT3B,2,0.3958042287715014
Q8TCS8,PNPT1,3,0.65230453396652
Q8TCT8,SPPL2A,8,0.3039257461639158
Q8TCZ2,CD99L2,0,NA
Q8TD19,NEK9,6,0.5232800988881174
Q8TD30,GPT2,4,0.3943579675555544
Q8TDC0,MYOZ3,2,0.7236224742597304
